Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-49-4506-01A-01D-1265-08	58	0	5	10	2	25	10	6
TCGA-49-4510-01A-01D-1265-08	12	12	6	0	0	15	2	0
TCGA-49-4512-01A-21D-1855-08	4	3	4	2	5	0	11	7
TCGA-49-4514-01A-21D-1855-08	91	56	102	27	33	2	25	4
TCGA-49-6743-01A-11D-1855-08	181	142	201	79	33	75	22	42
TCGA-49-6744-01A-11D-1855-08	121	8	6	1	64	9	3	1
TCGA-49-6745-01A-11D-1855-08	0	2	65	7	14	9	24	8
TCGA-49-6761-01A-31D-1945-08	15	43	66	0	25	9	11	18
TCGA-49-AAQV-01A-11D-A397-08	2	0	26	3	15	10	5	0
TCGA-49-AAR0-01A-21D-A397-08	48	2	17	0	27	6	20	16
TCGA-49-AAR3-01A-11D-A410-08	33	22	15	5	20	22	2	4
TCGA-49-AAR4-01A-12D-A410-08	241	79	94	90	41	5	7	16
TCGA-49-AAR9-01A-21D-A410-08	371	85	8	4	170	11	32	4
TCGA-49-AARE-01A-11D-A410-08	783	23	80	248	17	65	32	32
TCGA-49-AARN-01A-21D-A410-08	197	28	63	0	17	25	0	462
TCGA-49-AARO-01A-12D-A410-08	385	153	31	21	0	27	0	9
TCGA-49-AARQ-01A-11D-A410-08	429	46	83	26	118	37	18	0
TCGA-49-AARR-01A-11D-A410-08	0	0	0	1	0	0	0	0
TCGA-4B-A93V-01A-11D-A397-08	52	17	8	26	13	10	7	10
TCGA-50-5044-01A-21D-1855-08	0	0	98	24	0	5	3	0
TCGA-50-5045-01A-01D-1625-08	218	3	18	21	2	21	3	0
TCGA-50-5051-01A-21D-1855-08	57	0	6	14	11	15	13	0
TCGA-50-5055-01A-01D-1625-08	0	0	0	5	0	3	2	0
TCGA-50-5066-01A-01D-1625-08	114	31	19	63	18	3	1	23
TCGA-50-5066-02A-11D-2107-08	101	96	15	50	59	15	12	38
TCGA-50-5068-01A-01D-1625-08	23	12	7	0	17	11	21	0
TCGA-50-5072-01A-21D-1855-08	49	33	17	11	12	23	10	11
TCGA-50-5930-01A-11D-1753-08	660	272	8	54	69	59	24	21
TCGA-50-5931-01A-11D-1753-08	142	12	19	93	14	33	9	0
TCGA-50-5932-01A-11D-1753-08	32	20	0	7	15	0	4	0
TCGA-50-5935-01A-11D-1753-08	0	0	51	24	0	12	7	0
TCGA-50-5939-01A-11D-1625-08	4	0	16	18	5	11	10	9
TCGA-50-5941-01A-11D-1753-08	175	22	23	89	43	20	8	0
TCGA-50-5942-01A-21D-1753-08	18	5	1	14	7	1	3	7
TCGA-50-5946-01A-11D-1753-08	340	0	143	124	7	42	39	0
TCGA-50-5946-02A-11D-2107-08	351	0	162	98	34	56	39	0
TCGA-50-6590-01A-12D-1855-08	348	202	167	122	18	37	5	4
TCGA-50-6591-01A-11D-1753-08	0	8	3	8	16	0	7	8
TCGA-50-6592-01A-11D-1753-08	38	59	47	31	92	8	15	10
TCGA-50-6593-01A-11D-1753-08	149	14	10	85	17	25	10	13
TCGA-50-6594-01A-11D-1753-08	264	104	47	43	53	19	8	9
TCGA-50-6595-01A-12D-1855-08	0	12	20	7	24	3	4	10
TCGA-50-6597-01A-11D-1855-08	0	2	18	13	0	0	11	10
TCGA-50-6673-01A-11D-1945-08	1	0	6	0	11	16	15	2
TCGA-50-7109-01A-11D-2036-08	113	17	4	62	16	15	21	3
TCGA-50-8457-01A-11D-2323-08	13	3	4	20	3	3	7	2
TCGA-50-8460-01A-11D-2323-08	4	0	4	4	2	0	8	7
TCGA-53-7624-01A-11D-2063-08	294	127	149	119	71	42	33	8
TCGA-53-7626-01A-12D-2063-08	182	53	37	66	0	27	0	0
TCGA-53-7813-01A-11D-2167-08	38	65	0	10	18	10	15	0
TCGA-55-1592-01A-01D-0969-08	126	28	49	120	119	83	5	18
TCGA-55-1592-01A-01W-0928-08	110	46	48	110	105	87	10	6
TCGA-55-1594-01A-01D-1040-01	16	40	60	0	14	0	19	10
TCGA-55-1594-01A-01W-0928-08	19	25	61	0	20	9	11	8
TCGA-55-1595-01A-01D-0969-08	169	0	9	64	68	14	10	0
TCGA-55-1596-01A-01D-1040-01	51	3	7	65	24	39	7	2
TCGA-55-1596-01A-01W-0928-08	37	30	5	52	28	36	4	0
