Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-CM-6167-01A-11D-1650-10	4	32	4	0	4	0	21	7	7
TCGA-CM-6168-01A-11D-1650-10	45	31	0	12	22	10	68	8	24
TCGA-CM-6169-01A-11D-1650-10	15	35	0	0	5	12	32	10	3
TCGA-CM-6170-01A-11D-1650-10	3	22	0	4	3	0	5	34	27
TCGA-CM-6171-01A-11D-1650-10	360	398	17	0	227	11	153	0	5
TCGA-CM-6172-01A-11D-1650-10	2	23	3	17	0	0	10	34	17
TCGA-CM-6674-01A-11D-1835-10	268	325	0	16	173	8	0	0	39
TCGA-CM-6675-01A-11D-1835-10	5	14	1	0	2	0	15	35	6
TCGA-CM-6676-01A-11D-1835-10	9	31	3	18	0	0	0	37	6
TCGA-CM-6677-01A-11D-1835-10	16	51	6	3	0	13	0	35	18
TCGA-CM-6678-01A-11D-1835-10	14	55	0	0	3	0	44	12	16
TCGA-CM-6679-01A-11D-1835-10	15	12	0	3	0	0	0	30	7
TCGA-CM-6680-01A-11D-1835-10	0	33	0	16	3	0	14	6	18
TCGA-D5-5537-01A-21D-1924-10	19	26	7	8	0	0	17	10	17
TCGA-D5-5538-01A-01D-1650-10	8	16	2	11	18	0	61	0	0
TCGA-D5-5540-01A-01D-1650-10	0	38	0	13	0	4	22	35	7
TCGA-D5-5541-01A-01D-1650-10	0	25	0	9	0	0	20	0	10
TCGA-D5-6529-01A-11D-1771-10	16	36	6	16	3	0	36	0	0
TCGA-D5-6530-01A-11D-1719-10	372	307	0	0	200	22	76	0	13
TCGA-D5-6531-01A-11D-1719-10	1	69	1	10	0	24	30	25	30
TCGA-D5-6532-01A-11D-1719-10	0	28	8	12	0	0	6	45	25
TCGA-D5-6533-01A-11D-1719-10	0	19	0	28	13	13	56	27	21
TCGA-D5-6535-01A-11D-1719-10	3	13	1	9	0	25	50	49	26
TCGA-D5-6536-01A-11D-1719-10	13	19	0	9	5	0	11	40	0
TCGA-D5-6537-01A-11D-1719-10	0	33	10	9	10	3	47	0	0
TCGA-D5-6538-01A-11D-1719-10	20	47	1	12	0	0	0	46	21
TCGA-D5-6539-01A-11D-1719-10	4	20	3	7	8	7	15	14	21
TCGA-D5-6541-01A-11D-1719-10	4	51	0	0	14	0	20	7	0
TCGA-D5-6898-01A-11D-1924-10	3	27	3	0	0	8	3	29	9
TCGA-D5-6920-01A-11D-1924-10	12	39	2	2	0	0	0	24	35
TCGA-D5-6922-01A-11D-1924-10	7	29	1	10	0	0	0	47	13
TCGA-D5-6924-01A-11D-1924-10	0	35	0	2	8	16	46	0	33
TCGA-D5-6926-01A-11D-1924-10	0	27	0	8	8	0	28	36	5
TCGA-D5-6927-01A-21D-1924-10	271	106	7	14	229	20	4	0	0
TCGA-D5-6931-01A-11D-1924-10	0	5	2	28	37	23	0	176	51
TCGA-D5-6932-01A-11D-1924-10	7	16	8	1	6	10	36	41	7
TCGA-DM-A0X9-01A-11D-A152-10	14	37	9	27	0	0	48	32	24
TCGA-DM-A0XD-01A-12D-A152-10	19	37	6	19	0	0	39	36	15
TCGA-DM-A0XF-01A-11D-A152-10	8	0	6	15	9	0	64	0	29
TCGA-DM-A1D0-01A-11D-A152-10	0	26	0	5	8	11	29	33	12
TCGA-DM-A1D4-01A-21D-A152-10	20	79	11	0	7	3	32	26	9
TCGA-DM-A1D8-01A-11D-A152-10	11	8	6	19	9	0	37	73	0
TCGA-DM-A1D9-01A-11D-A152-10	2	14	1	8	5	17	54	14	19
