Samples	SBS96A	SBS96B	SBS96C
TCGA-86-8673-01A-11D-2393-08	354	54	81
TCGA-86-8674-01A-21D-2393-08	246	46	12
TCGA-86-A456-01A-11D-A24D-08	278	41	45
TCGA-86-A4JF-01A-11D-A24P-08	309	124	889
TCGA-86-A4P7-01A-11D-A24P-08	11	31	18
TCGA-91-6828-01A-11D-1855-08	210	32	34
TCGA-91-6829-01A-21D-1855-08	483	79	102
TCGA-91-6830-01A-11D-1945-08	16	201	5
TCGA-91-6831-01A-11D-1855-08	193	23	61
TCGA-91-6835-01A-11D-1855-08	30	20	28
TCGA-91-6836-01A-21D-1855-08	367	36	67
TCGA-91-6840-01A-11D-1945-08	15	80	29
TCGA-91-6847-01A-11D-1945-08	11	14	49
TCGA-91-6848-01A-11D-1945-08	402	121	80
TCGA-91-6849-01A-11D-1945-08	77	13	27
TCGA-91-7771-01A-11D-2167-08	106	36	52
TCGA-91-A4BC-01A-11D-A24D-08	371	32	52
TCGA-91-A4BD-01A-11D-A24D-08	0	5	18
TCGA-93-7347-01A-11D-2184-08	88	15	19
TCGA-93-7348-01A-21D-2036-08	44	21	47
TCGA-93-8067-01A-11D-2284-08	49	477	26
TCGA-93-8067-01C-01D-A38P-08	34	249	3
TCGA-93-8067-01D-01D-A38P-08	34	155	0
TCGA-93-A4JO-01A-21D-A24P-08	17	17	16
TCGA-93-A4JP-01A-11D-A24P-08	15	24	16
TCGA-93-A4JP-01D-01D-A38P-08	24	38	54
TCGA-93-A4JP-01E-01D-A38P-08	28	37	39
TCGA-95-7039-01A-11D-1945-08	1044	102	146
TCGA-95-7043-01A-11D-1945-08	940	82	115
TCGA-95-7562-01A-11D-2238-08	353	14	34
TCGA-95-7567-01A-11D-2063-08	349	17	573
TCGA-95-7944-01A-11D-2184-08	15	229	19
TCGA-95-7947-01A-11D-2184-08	216	262	99
TCGA-95-7948-01A-11D-2184-08	0	144	0
TCGA-95-8494-01A-11D-2323-08	0	65	47
TCGA-95-A4VK-01A-11D-A25L-08	202	15	57
TCGA-95-A4VN-01A-11D-A25L-08	394	50	38
TCGA-97-7547-01A-11D-2036-08	93	51	31
TCGA-97-7552-01A-11D-2036-08	3	1	27
TCGA-97-7553-01A-21D-2036-08	12	3	30
TCGA-97-7554-01A-11D-2036-08	352	32	67
TCGA-97-7938-01A-11D-2167-08	320	59	39
TCGA-97-8171-01A-11D-2284-08	10	2	43
TCGA-97-8174-01A-11D-2284-08	97	23	49
TCGA-97-8175-01A-11D-2284-08	11	6	13
TCGA-97-8177-01A-11D-2284-08	7	5	22
TCGA-97-8552-01A-11D-2393-08	5	2	16
TCGA-97-A4LX-01A-11D-A24P-08	153	11	23
TCGA-97-A4M0-01A-11D-A24P-08	290	90	26
TCGA-97-A4M1-01A-11D-A24P-08	6	10	27
TCGA-97-A4M3-01A-11D-A24P-08	155	38	25
TCGA-97-A4M6-01A-11D-A24P-08	5	6	22
TCGA-97-A4M7-01A-11D-A24P-08	277	17	22
TCGA-99-7458-01A-11D-2036-08	396	27	75
TCGA-99-8025-01A-11D-2238-08	243	168	105
TCGA-99-8028-01A-11D-2238-08	368	12	21
TCGA-99-8033-01A-11D-2238-08	114	16	48
TCGA-99-AA5R-01A-11D-A397-08	36	4	2
TCGA-J2-8192-01A-11D-2238-08	15	12	47
TCGA-J2-8194-01A-11D-2238-08	87	12	59
TCGA-J2-A4AD-01A-11D-A24D-08	121	167	57
TCGA-J2-A4AE-01A-21D-A24D-08	1	17	38
TCGA-J2-A4AG-01A-11D-A24D-08	46	9	26
TCGA-L4-A4E5-01A-11D-A24P-08	301	23	39
TCGA-L4-A4E6-01A-11D-A24D-08	6	2	0
TCGA-L9-A443-01A-12D-A24D-08	201	23	31
TCGA-L9-A50W-01A-12D-A397-08	8	13	12
TCGA-L9-A5IP-01A-21D-A397-08	246	27	29
TCGA-L9-A743-01A-43D-A397-08	58	56	7
