Samples	SBS96A	SBS96B	SBS96C
TCGA-78-7155-01A-11D-2036-08	1274	166	140
TCGA-78-7160-01A-11D-2036-08	10	8	23
TCGA-78-7161-01A-11D-2036-08	133	18	47
TCGA-78-7162-01A-21D-2063-08	43	21	23
TCGA-78-7163-01A-12D-2063-08	0	0	19
TCGA-78-7166-01A-12D-2063-08	210	10	20
TCGA-78-7167-01A-11D-2063-08	34	31	35
TCGA-78-7220-01A-11D-2036-08	632	157	100
TCGA-78-7535-01A-11D-2063-08	127	11	46
TCGA-78-7536-01A-11D-2063-08	523	35	95
TCGA-78-7539-01A-11D-2063-08	139	312	64
TCGA-78-7540-01A-11D-2063-08	3	1	26
TCGA-78-7542-01A-21D-2063-08	297	40	48
TCGA-78-7633-01A-11D-2063-08	80	10	19
TCGA-78-8640-01A-11D-2393-08	459	154	144
TCGA-78-8648-01A-11D-2393-08	5	1	1
TCGA-78-8655-01A-11D-2393-08	58	9	38
TCGA-78-8662-01A-11D-2393-08	942	134	150
TCGA-80-5607-01A-31D-1945-08	0	131	0
TCGA-80-5608-01A-31D-1945-08	127	15	38
TCGA-80-5611-01A-01D-1625-08	102	18	78
TCGA-83-5908-01A-21D-2284-08	122	97	26
TCGA-86-6562-01A-11D-1753-08	10	15	28
TCGA-86-6851-01A-11D-1945-08	733	137	48
TCGA-86-7701-01A-11D-2167-08	154	9	41
TCGA-86-7711-01A-11D-2063-08	112	60	59
TCGA-86-7713-01A-11D-2063-08	112	12	36
TCGA-86-7954-01A-11D-2184-08	103	42	75
TCGA-86-7955-01A-11D-2184-08	207	49	72
TCGA-86-8055-01A-11D-2238-08	2	8	34
TCGA-86-8056-01A-11D-2238-08	68	175	44
TCGA-86-8073-01A-11D-2238-08	1338	141	74
TCGA-86-8074-01A-11D-2238-08	21	11	39
TCGA-86-8075-01A-11D-2238-08	1	3	38
TCGA-86-8076-01A-31D-2238-08	17	26	24
TCGA-86-8279-01A-11D-2284-08	453	30	60
TCGA-86-8280-01A-11D-2284-08	10	4	34
TCGA-86-8281-01A-11D-2284-08	180	33	54
TCGA-86-8359-01A-11D-2323-08	119	12	39
TCGA-86-8585-01A-11D-2393-08	408	126	60
TCGA-86-8668-01A-11D-2393-08	1	6	24
TCGA-86-8671-01A-11D-2393-08	8	6	19
TCGA-86-8672-01A-21D-2393-08	210	50	55
