Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-AA-3989-01A-01W-0995-10	30	3	41	41
TCGA-AA-A004-01A-01W-A00E-09	13	0	25	31
TCGA-AA-A00O-01A-02W-A00E-09	16	2	14	55
TCGA-AA-A00Z-01A-01D-A17O-10	0	0	5	6
TCGA-AA-A010-01A-01D-A17O-10	1782	7031	0	0
TCGA-AA-A010-01A-01W-A00E-09	1217	6678	0	0
TCGA-AA-A017-01A-01W-A00E-09	0	0	17	34
TCGA-AA-A01C-01A-01W-A00E-09	0	0	18	59
TCGA-AA-A01I-01A-02W-A00E-09	12	9	41	49
TCGA-AA-A01K-01A-01W-A00E-09	30	0	0	109
TCGA-AA-A01P-01A-21D-A17O-10	479	18	308	35
TCGA-AA-A01P-01A-21W-A096-10	262	27	143	125
TCGA-AA-A01S-01A-21W-A096-10	11	1	23	28
TCGA-AA-A01T-01A-21W-A096-10	7	3	15	71
TCGA-AA-A01V-01A-23W-A096-10	16	14	49	45
TCGA-AA-A01X-01A-21W-A096-10	0	0	30	43
TCGA-AA-A01Z-01A-11W-A096-10	1	3	43	48
TCGA-AA-A022-01A-21D-A17O-10	775	0	703	0
TCGA-AA-A022-01A-21W-A096-10	674	21	555	11
TCGA-AA-A024-01A-02W-A00E-09	8	2	33	36
TCGA-AA-A029-01A-01W-A00E-09	0	10	25	50
TCGA-AA-A02E-01A-01W-A00E-09	22	7	12	121
TCGA-AA-A02H-01A-01W-A00E-09	9	13	18	33
TCGA-AA-A02J-01A-01W-A00E-09	10	25	14	78
TCGA-AA-A02K-01A-21W-A096-10	30	5	34	70
TCGA-AA-A02O-01A-21W-A096-10	0	0	69	96
TCGA-AA-A02R-01A-01W-A00E-09	690	21	182	171
TCGA-AA-A02W-01A-01W-A00E-09	18	0	35	42
TCGA-AA-A02Y-01A-43W-A096-10	0	20	33	59
TCGA-AA-A03J-01A-21W-A096-10	0	11	30	60
TCGA-AD-6548-01A-11D-1835-10	0	0	41	88
TCGA-AD-6888-01A-11D-1924-10	11	4	71	19
TCGA-AD-6889-01A-11D-1924-10	1153	8	382	95
TCGA-AD-6890-01A-11D-1924-10	0	0	65	46
TCGA-AD-6895-01A-11D-1924-10	923	49	452	312
TCGA-AD-6901-01A-11D-1924-10	42	28	57	143
TCGA-AD-6963-01A-11D-1924-10	15	0	23	37
TCGA-AD-6964-01A-11D-1924-10	1360	0	0	263
TCGA-AD-6965-01A-11D-1924-10	21	7	57	48
TCGA-AD-A5EJ-01A-11D-A28G-10	1022	29	284	103
TCGA-AD-A5EK-01A-11D-A28G-10	18	0	29	57
TCGA-AM-5820-01A-01D-1650-10	5	5	32	24
TCGA-AU-3779-01A-01D-1719-10	9	8	47	50
TCGA-AU-6004-01A-11D-1719-10	463	15	400	16
TCGA-AY-4071-01A-01W-1073-09	8	10	15	88
TCGA-AY-5543-01A-01D-1650-10	14	12	42	51
TCGA-AY-6197-01A-11D-1719-10	848	39	70	115
TCGA-AY-6386-01A-21D-1719-10	0	0	56	56
TCGA-AY-A54L-01A-11D-A28G-10	37	12	31	68
TCGA-AY-A69D-01A-11D-A36X-10	1	27	79	100
TCGA-AY-A71X-01A-12D-A36X-10	3	8	56	19
TCGA-AY-A8YK-01A-11D-A40P-10	27	3	33	16
TCGA-AZ-4308-01A-01D-1408-10	6	9	11	42
TCGA-AZ-4313-01A-01D-1408-10	0	0	1178	0
TCGA-AZ-4315-01A-01D-1408-10	0	6067	1145	0
TCGA-AZ-4614-01A-01D-1408-10	26	1	29	135
TCGA-AZ-4615-01A-01D-1408-10	571	14	288	101
TCGA-AZ-4681-01A-01D-1408-10	0	0	28	51
TCGA-AZ-5403-01A-01D-1650-10	11	14	16	36
TCGA-AZ-5407-01A-01D-1719-10	8	3	46	45
TCGA-AZ-6598-01A-11D-1771-10	1507	0	668	0
TCGA-AZ-6599-01A-11D-1771-10	0	29	0	234
TCGA-AZ-6600-01A-11D-1771-10	8	13	41	80
TCGA-AZ-6601-01A-11D-1771-10	1127	0	1255	0
TCGA-AZ-6603-01A-11D-1835-10	0	10	30	35
TCGA-AZ-6605-01A-11D-1835-10	18	13	23	50
TCGA-AZ-6606-01A-11D-1835-10	0	0	46	95
TCGA-AZ-6608-01A-11D-1835-10	32	4	18	96
TCGA-CA-5254-01A-21D-1835-10	30	0	76	97
TCGA-CA-5255-01A-11D-1835-10	8	6	9	21
TCGA-CA-5256-01A-01D-1408-10	7	2	43	28
TCGA-CA-5797-01A-01D-1650-10	13	0	0	53
TCGA-CA-6715-01A-21D-1835-10	7	12	26	38
TCGA-CA-6718-01A-11D-1835-10	0	3917	0	0
TCGA-CA-6719-01A-11D-1835-10	6	13	60	35
TCGA-CK-4948-01B-11D-1650-10	0	0	50	58
TCGA-CK-5912-01A-11D-1650-10	9	2	26	20
TCGA-CK-5913-01A-11D-1650-10	442	0	343	0
TCGA-CK-5914-01A-11D-1650-10	19	10	61	52
