Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-DM-A0XD-01A-12D-A152-10	17	58	7	20	69
TCGA-DM-A0XF-01A-11D-A152-10	9	0	5	25	92
TCGA-DM-A1D0-01A-11D-A152-10	2	37	4	9	72
TCGA-DM-A1D4-01A-21D-A152-10	13	101	13	0	60
TCGA-DM-A1D8-01A-11D-A152-10	27	32	8	20	76
TCGA-DM-A1D9-01A-11D-A152-10	7	19	9	12	87
TCGA-DM-A1DA-01A-11D-A152-10	68	43	14	13	159
TCGA-DM-A1DB-01A-11D-A152-10	2	21	2	6	30
TCGA-DM-A1HA-01A-11D-A152-10	14	62	8	0	66
TCGA-DM-A28C-01A-11D-A16V-10	9	40	4	0	49
TCGA-DM-A28E-01A-11D-A16V-10	0	25	8	11	38
TCGA-DM-A28F-01A-11D-A16V-10	49	22	19	24	134
TCGA-DM-A28G-01A-11D-A16V-10	13	47	3	9	57
TCGA-DM-A28H-01A-11D-A16V-10	16	36	6	12	50
TCGA-DM-A28M-01A-12D-A16V-10	5	50	2	8	28
TCGA-F4-6459-01A-11D-1771-10	0	18	1	33	75
TCGA-F4-6460-01A-11D-1771-10	19	28	13	19	77
TCGA-F4-6461-01A-11D-1771-10	37	39	4	13	56
TCGA-F4-6569-01A-11D-1771-10	0	25	14	15	67
TCGA-F4-6570-01A-11D-1771-10	966	392	28	80	141
TCGA-F4-6805-01A-11D-1835-10	8	29	3	0	31
TCGA-F4-6806-01A-11D-1835-10	3	55	7	2	41
TCGA-F4-6807-01A-11D-1835-10	37	3	13	5	115
TCGA-F4-6808-01A-11D-1835-10	1	61	6	3	67
TCGA-F4-6854-01A-11D-1924-10	13	9	0	16	81
TCGA-F4-6855-01A-11D-1924-10	8	33	5	8	55
TCGA-G4-6293-01A-11D-1719-10	10	36	9	6	61
TCGA-G4-6294-01A-11D-1806-10	46	31	6	11	66
TCGA-G4-6295-01A-11D-1719-10	19	25	3	23	81
TCGA-G4-6297-01A-11D-1719-10	0	34	5	20	30
TCGA-G4-6298-01A-11D-1719-10	0	42	5	0	30
TCGA-G4-6299-01A-11D-1771-10	35	38	6	19	65
TCGA-G4-6303-01A-11D-1771-10	0	48	10	9	39
TCGA-G4-6304-01A-11D-1924-10	540	209	11	41	73
TCGA-G4-6306-01A-11D-1771-10	29	52	6	3	34
TCGA-G4-6307-01A-11D-1719-10	9	21	9	10	29
TCGA-G4-6309-01A-21D-1835-10	236	434	0	0	78
TCGA-G4-6310-01A-11D-1719-10	6	49	6	13	36
TCGA-G4-6311-01A-11D-1719-10	16	38	11	1	86
TCGA-G4-6314-01A-11D-1719-10	13	71	9	7	51
TCGA-G4-6315-01A-11D-1719-10	12	58	10	0	72
TCGA-G4-6317-01A-11D-1719-10	0	46	5	5	51
TCGA-G4-6317-02A-11D-2067-10	29	36	11	4	51
TCGA-G4-6320-01A-11D-1719-10	387	479	30	5	158
TCGA-G4-6321-01A-11D-1719-10	0	22	2	7	32
TCGA-G4-6323-01A-11D-1719-10	24	35	1	0	27
TCGA-G4-6586-01A-11D-1771-10	538	434	9	36	75
TCGA-G4-6588-01A-11D-1771-10	1538	324	6	77	78
TCGA-G4-6625-01A-21D-1771-10	8	30	0	7	67
TCGA-G4-6626-01A-11D-1771-10	9	73	0	0	58
TCGA-G4-6627-01A-11D-2188-10	2	36	7	0	44
