Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-69-7978-01A-11D-2184-08	353	189	31	43
TCGA-69-8253-01A-11D-2284-08	98	27	19	23
TCGA-69-8254-01A-11D-2284-08	20	5	26	24
TCGA-69-8255-01A-11D-2284-08	134	48	83	35
TCGA-69-A59K-01A-11D-A25L-08	398	56	0	54
TCGA-71-6725-01A-11D-1855-08	6	8	2	41
TCGA-71-8520-01A-11D-2393-08	21	19	7	45
TCGA-73-4658-01A-01D-1753-08	147	146	25	14
TCGA-73-4659-01A-01D-1265-08	152	13	32	25
TCGA-73-4662-01A-01D-1265-08	150	22	22	19
TCGA-73-4670-01A-01D-1265-08	223	26	85	32
TCGA-73-4675-01A-01D-1265-08	16	5	28	20
TCGA-73-4676-01A-01D-1753-08	33	6	36	23
TCGA-73-4677-01A-01D-1265-08	184	22	26	33
TCGA-73-7498-01A-12D-2184-08	67	5	17	28
TCGA-75-5122-01A-01D-1753-08	55	26	24	29
TCGA-75-5125-01A-01D-1753-08	67	46	23	28
TCGA-75-5126-01A-01D-1753-08	390	179	21	32
TCGA-75-5146-01A-01D-1625-08	153	15	18	7
TCGA-75-5147-01A-01D-1625-08	1	12	10	13
TCGA-75-6203-01A-11D-1753-08	1	0	0	12
TCGA-75-6205-01A-11D-1753-08	5	5	28	5
TCGA-75-6206-01A-11D-1753-08	48	12	28	4
TCGA-75-6207-01A-11D-1753-08	12	16	15	15
TCGA-75-6211-01A-11D-1753-08	289	26	45	32
TCGA-75-6214-01A-41D-1945-08	420	193	70	52
TCGA-75-7025-01A-12D-1945-08	0	9	0	21
TCGA-75-7027-01A-11D-1945-08	167	15	37	31
TCGA-75-7030-01A-11D-1945-08	3	0	1	4
TCGA-78-7145-01A-11D-2036-08	141	16	13	27
TCGA-78-7146-01A-11D-2036-08	209	104	17	52
TCGA-78-7147-01A-11D-2036-08	174	63	90	36
TCGA-78-7148-01A-11D-2036-08	134	15	56	15
TCGA-78-7149-01A-11D-2036-08	38	81	10	19
TCGA-78-7150-01A-21D-2036-08	149	162	78	46
TCGA-78-7152-01A-11D-2036-08	77	89	28	12
TCGA-78-7153-01A-11D-2036-08	23	28	29	24
TCGA-78-7154-01A-11D-2036-08	49	117	40	60
TCGA-78-7155-01A-11D-2036-08	1186	154	168	72
TCGA-78-7160-01A-11D-2036-08	5	6	23	7
TCGA-78-7161-01A-11D-2036-08	128	17	23	30
TCGA-78-7162-01A-21D-2063-08	35	18	25	9
TCGA-78-7163-01A-12D-2063-08	3	1	4	11
TCGA-78-7166-01A-12D-2063-08	200	9	20	11
TCGA-78-7167-01A-11D-2063-08	37	33	3	27
TCGA-78-7220-01A-11D-2036-08	570	143	135	41
TCGA-78-7535-01A-11D-2063-08	99	8	67	10
TCGA-78-7536-01A-11D-2063-08	473	30	108	42
TCGA-78-7539-01A-11D-2063-08	140	311	11	53
TCGA-78-7540-01A-11D-2063-08	5	1	0	24
TCGA-78-7542-01A-21D-2063-08	298	41	6	40
TCGA-78-7633-01A-11D-2063-08	72	9	19	9
TCGA-78-8640-01A-11D-2393-08	417	143	123	74
TCGA-78-8648-01A-11D-2393-08	4	0	3	0
TCGA-78-8655-01A-11D-2393-08	53	9	22	21
TCGA-78-8662-01A-11D-2393-08	853	120	188	65
TCGA-80-5607-01A-31D-1945-08	0	121	4	6
TCGA-80-5608-01A-31D-1945-08	130	16	2	32
TCGA-80-5611-01A-01D-1625-08	75	13	86	24
TCGA-83-5908-01A-21D-2284-08	121	97	4	23
TCGA-86-6562-01A-11D-1753-08	10	15	9	19
TCGA-86-6851-01A-11D-1945-08	662	124	121	11
TCGA-86-7701-01A-11D-2167-08	146	8	26	24
TCGA-86-7711-01A-11D-2063-08	95	54	55	27
TCGA-86-7713-01A-11D-2063-08	100	11	31	18
TCGA-86-7954-01A-11D-2184-08	99	40	34	47
TCGA-86-7955-01A-11D-2184-08	184	45	63	36
TCGA-86-8055-01A-11D-2238-08	2	9	11	22
TCGA-86-8056-01A-11D-2238-08	66	172	17	32
TCGA-86-8073-01A-11D-2238-08	1294	136	66	57
TCGA-86-8074-01A-11D-2238-08	14	9	33	15
TCGA-86-8075-01A-11D-2238-08	2	4	6	30
TCGA-86-8076-01A-31D-2238-08	16	25	10	16
TCGA-86-8279-01A-11D-2284-08	424	27	62	30
TCGA-86-8280-01A-11D-2284-08	7	4	19	18
TCGA-86-8281-01A-11D-2284-08	179	34	13	41
TCGA-86-8359-01A-11D-2323-08	122	13	4	31
TCGA-86-8585-01A-11D-2393-08	372	117	75	30
TCGA-86-8668-01A-11D-2393-08	2	6	5	18
TCGA-86-8671-01A-11D-2393-08	5	5	14	9
TCGA-86-8672-01A-21D-2393-08	202	48	30	35
TCGA-86-8673-01A-11D-2393-08	309	47	101	32
TCGA-86-8674-01A-21D-2393-08	238	45	11	10
TCGA-86-A456-01A-11D-A24D-08	264	39	33	28
TCGA-86-A4JF-01A-11D-A24P-08	335	135	223	629
TCGA-86-A4P7-01A-11D-A24P-08	8	29	13	10
TCGA-91-6828-01A-11D-1855-08	210	32	6	28
TCGA-91-6829-01A-21D-1855-08	409	66	161	28
TCGA-91-6830-01A-11D-1945-08	13	193	12	4
TCGA-91-6831-01A-11D-1855-08	160	19	78	20
TCGA-91-6835-01A-11D-1855-08	24	17	25	12
TCGA-91-6836-01A-21D-1855-08	349	34	45	42
TCGA-91-6840-01A-11D-1945-08	17	82	0	25
TCGA-91-6847-01A-11D-1945-08	13	16	8	37
TCGA-91-6848-01A-11D-1945-08	348	107	124	24
TCGA-91-6849-01A-11D-1945-08	68	11	24	14
TCGA-91-7771-01A-11D-2167-08	87	30	58	19
TCGA-91-A4BC-01A-11D-A24D-08	349	30	46	30
TCGA-91-A4BD-01A-11D-A24D-08	0	5	2	16
TCGA-93-7347-01A-11D-2184-08	82	14	16	10
TCGA-93-7348-01A-21D-2036-08	42	20	20	30
TCGA-93-8067-01A-11D-2284-08	51	469	0	32
TCGA-93-8067-01C-01D-A38P-08	35	243	0	8
TCGA-93-8067-01D-01D-A38P-08	34	150	0	5
TCGA-93-A4JO-01A-21D-A24P-08	10	13	25	2
TCGA-93-A4JP-01A-11D-A24P-08	13	22	11	9
TCGA-93-A4JP-01D-01D-A38P-08	29	41	1	45
TCGA-93-A4JP-01E-01D-A38P-08	30	38	6	30
TCGA-95-7039-01A-11D-1945-08	959	91	174	68
TCGA-95-7043-01A-11D-1945-08	942	84	12	99
TCGA-95-7562-01A-11D-2238-08	354	15	0	32
TCGA-95-7567-01A-11D-2063-08	328	16	244	351
TCGA-95-7944-01A-11D-2184-08	14	221	13	15
TCGA-95-7947-01A-11D-2184-08	182	238	116	41
TCGA-95-7948-01A-11D-2184-08	0	129	0	15
TCGA-95-8494-01A-11D-2323-08	2	69	0	41
TCGA-95-A4VK-01A-11D-A25L-08	201	15	16	42
TCGA-95-A4VN-01A-11D-A25L-08	371	47	42	22
TCGA-97-7547-01A-11D-2036-08	93	51	7	24
