Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-62-8398-01A-11D-2323-08	31	9	0	11	16	11	6
TCGA-62-8399-01A-21D-2323-08	189	0	109	191	6	46	8
TCGA-62-8402-01A-11D-2323-08	0	23	2	5	3	18	6
TCGA-62-A46O-01A-11D-A24D-08	442	123	71	149	97	37	16
TCGA-62-A46P-01A-11D-A24D-08	170	56	18	0	12	28	0
TCGA-62-A46R-01A-11D-A24D-08	49	41	15	22	12	23	10
TCGA-62-A46S-01A-11D-A24D-08	59	0	0	14	13	21	19
TCGA-62-A46U-01A-11D-A24D-08	6	7	9	8	0	14	0
TCGA-62-A46V-01A-11D-A24D-08	2	14	7	5	0	19	10
TCGA-62-A46Y-01A-11D-A24D-08	4	4	0	1	0	13	10
TCGA-62-A471-01A-12D-A24D-08	0	23	3	55	25	14	3
TCGA-62-A472-01A-11D-A24D-08	2	31	1	3	5	10	5
TCGA-64-1676-01A-01D-0969-08	340	177	68	0	19	21	3
TCGA-64-1676-01A-01W-0928-08	323	194	57	0	10	20	1
TCGA-64-1677-01A-01W-0928-08	26	49	29	71	20	19	0
TCGA-64-1678-01A-01W-0928-08	270	106	0	29	9	11	12
TCGA-64-1679-01A-21D-2063-08	285	151	56	19	4	12	0
TCGA-64-1680-01A-02D-0969-08	0	0	21	14	0	16	1
TCGA-64-1680-01A-02W-0928-08	1	3	14	10	0	13	5
TCGA-64-1681-01A-11D-2063-08	0	0	22	11	0	5	27
TCGA-64-5774-01A-01D-1625-08	80	27	8	2	13	14	0
TCGA-64-5775-01A-01D-1625-08	303	117	20	14	14	35	3
TCGA-64-5778-01A-01D-1625-08	256	142	4	24	37	19	4
TCGA-64-5781-01A-01D-1625-08	501	388	99	103	0	33	28
TCGA-64-5815-01A-01D-1625-08	79	43	33	0	0	26	0
TCGA-67-3770-01A-01D-0969-08	112	43	0	5	57	15	1
TCGA-67-3770-01A-01W-0928-08	116	30	0	7	56	17	0
TCGA-67-3771-01A-01D-1040-01	263	242	218	286	92	34	5
TCGA-67-3771-01A-01W-0928-08	228	288	251	277	74	34	29
TCGA-67-3773-01A-01D-1040-01	39	41	0	1	2	15	4
TCGA-67-3774-01A-01D-1040-01	28	33	34	2	6	9	6
TCGA-67-3774-01A-01W-0928-08	23	22	41	0	8	6	3
TCGA-67-4679-01B-01D-1753-08	135	94	31	0	0	20	12
TCGA-67-6215-01A-11D-1753-08	0	0	0	0	0	1	108
TCGA-67-6216-01A-11D-1753-08	0	7	3	8	2	3	3
TCGA-67-6217-01A-11D-1753-08	110	0	36	4	13	12	17
TCGA-69-7760-01A-11D-2167-08	15	0	0	5	12	19	20
TCGA-69-7764-01A-11D-2167-08	7	38	0	5	25	16	0
TCGA-69-7765-01A-11D-2167-08	357	96	81	47	44	0	15
TCGA-69-7973-01A-11D-2184-08	180	43	0	9	5	28	0
TCGA-69-7974-01A-11D-2184-08	279	89	36	24	63	36	1
TCGA-69-7978-01A-11D-2184-08	261	0	134	159	33	29	0
TCGA-69-8253-01A-11D-2284-08	47	86	0	14	0	15	5
TCGA-69-8254-01A-11D-2284-08	3	42	0	0	4	19	7
TCGA-69-8255-01A-11D-2284-08	61	102	48	27	7	24	31
TCGA-69-A59K-01A-11D-A25L-08	355	27	0	52	23	45	6
TCGA-71-6725-01A-11D-1855-08	3	7	2	6	5	30	4
TCGA-71-8520-01A-11D-2393-08	17	0	6	16	13	32	8
TCGA-73-4658-01A-01D-1753-08	100	66	0	124	13	8	21
TCGA-73-4659-01A-01D-1265-08	93	25	75	0	0	16	13
TCGA-73-4662-01A-01D-1265-08	87	64	33	9	11	9	0
TCGA-73-4670-01A-01D-1265-08	147	113	6	6	27	21	46
TCGA-73-4675-01A-01D-1265-08	6	15	2	3	25	13	5
TCGA-73-4676-01A-01D-1753-08	17	28	0	1	27	14	11
TCGA-73-4677-01A-01D-1265-08	138	17	34	14	31	20	11
TCGA-73-7498-01A-12D-2184-08	34	33	24	0	0	18	8
TCGA-75-5122-01A-01D-1753-08	28	29	21	19	18	19	0
TCGA-75-5125-01A-01D-1753-08	42	5	37	36	19	17	8
TCGA-75-5126-01A-01D-1753-08	302	0	103	152	36	21	8
TCGA-75-5146-01A-01D-1625-08	102	64	0	7	18	2	0
TCGA-75-5147-01A-01D-1625-08	0	0	4	10	8	10	4
TCGA-75-6203-01A-11D-1753-08	0	0	2	0	0	11	0
TCGA-75-6205-01A-11D-1753-08	0	0	23	1	6	3	10
TCGA-75-6206-01A-11D-1753-08	17	32	31	4	8	0	0
TCGA-75-6207-01A-11D-1753-08	10	0	0	15	23	10	0
TCGA-75-6211-01A-11D-1753-08	219	1	83	14	44	19	12
TCGA-75-6214-01A-41D-1945-08	273	127	98	152	57	28	0
TCGA-75-7025-01A-12D-1945-08	0	0	0	8	2	17	3
TCGA-75-7027-01A-11D-1945-08	110	57	24	5	32	18	4
TCGA-75-7030-01A-11D-1945-08	3	0	0	0	0	3	2
TCGA-78-7145-01A-11D-2036-08	94	31	42	6	0	18	6
TCGA-78-7146-01A-11D-2036-08	140	96	16	83	4	38	5
TCGA-78-7147-01A-11D-2036-08	113	35	73	46	47	22	27
TCGA-78-7148-01A-11D-2036-08	82	63	12	4	46	4	9
TCGA-78-7149-01A-11D-2036-08	24	26	0	72	12	13	1
