Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-CM-5349-01A-21D-1719-10	0	54	4	17	8	0	20	1
TCGA-CM-5860-01A-01D-1650-10	0	47	0	8	11	19	32	0
TCGA-CM-5861-01A-01D-1650-10	659	60	8	81	550	0	0	54
TCGA-CM-5862-01A-01D-1650-10	8	39	2	0	6	2	12	22
TCGA-CM-5864-01A-01D-1650-10	26	15	3	19	21	20	38	65
TCGA-CM-5868-01A-01D-1650-10	14	25	9	2	16	0	16	18
TCGA-CM-6161-01A-11D-1650-10	0	42	0	0	16	5	35	1
TCGA-CM-6163-01A-11D-1650-10	0	39	3	9	6	0	32	17
TCGA-CM-6164-01A-11D-1650-10	4	18	1	15	8	6	24	0
TCGA-CM-6165-01A-11D-1650-10	18	17	0	0	4	23	11	36
TCGA-CM-6166-01A-11D-1650-10	27	18	2	8	0	9	7	13
TCGA-CM-6167-01A-11D-1650-10	0	40	0	0	7	11	20	1
TCGA-CM-6168-01A-11D-1650-10	38	43	0	8	33	19	51	28
TCGA-CM-6169-01A-11D-1650-10	10	43	0	0	8	16	14	21
TCGA-CM-6170-01A-11D-1650-10	11	29	0	4	5	0	40	9
TCGA-CM-6171-01A-11D-1650-10	362	437	21	0	274	0	77	0
TCGA-CM-6172-01A-11D-1650-10	7	31	3	18	0	2	30	15
TCGA-CM-6674-01A-11D-1835-10	289	320	1	27	180	0	8	4
TCGA-CM-6675-01A-11D-1835-10	10	24	0	0	3	1	23	17
TCGA-CM-6676-01A-11D-1835-10	17	35	3	19	0	0	8	22
TCGA-CM-6677-01A-11D-1835-10	25	61	5	4	0	20	22	5
TCGA-CM-6678-01A-11D-1835-10	9	74	0	0	13	0	48	0
TCGA-CM-6679-01A-11D-1835-10	26	18	0	3	0	0	12	8
TCGA-CM-6680-01A-11D-1835-10	0	37	0	17	5	2	21	8
TCGA-D5-5537-01A-21D-1924-10	20	33	4	7	0	9	27	4
TCGA-D5-5538-01A-01D-1650-10	0	27	3	7	33	1	19	26
TCGA-D5-5540-01A-01D-1650-10	1	49	0	12	0	9	18	30
TCGA-D5-5541-01A-01D-1650-10	0	30	0	8	4	0	22	0
TCGA-D5-6529-01A-11D-1771-10	11	48	8	14	10	0	14	8
TCGA-D5-6530-01A-11D-1719-10	399	323	6	0	228	5	29	0
TCGA-D5-6531-01A-11D-1719-10	2	77	5	12	4	20	32	38
TCGA-D5-6532-01A-11D-1719-10	6	28	9	14	0	0	18	49
TCGA-D5-6533-01A-11D-1719-10	0	23	2	27	19	13	28	65
TCGA-D5-6535-01A-11D-1719-10	3	24	0	8	1	36	38	66
TCGA-D5-6536-01A-11D-1719-10	20	25	0	9	4	0	5	34
TCGA-D5-6537-01A-11D-1719-10	0	45	10	4	20	12	15	6
TCGA-D5-6538-01A-11D-1719-10	33	61	0	13	0	2	24	14
TCGA-D5-6539-01A-11D-1719-10	4	20	4	9	10	5	14	33
TCGA-D5-6541-01A-11D-1719-10	0	55	0	0	16	0	2	23
TCGA-D5-6898-01A-11D-1924-10	7	28	5	0	0	7	8	27
TCGA-D5-6920-01A-11D-1924-10	17	36	2	6	0	0	24	29
TCGA-D5-6922-01A-11D-1924-10	17	36	1	11	0	0	17	25
TCGA-D5-6924-01A-11D-1924-10	0	41	3	1	18	12	45	20
TCGA-D5-6926-01A-11D-1924-10	0	34	0	8	11	0	14	45
TCGA-D5-6927-01A-21D-1924-10	289	88	14	16	243	1	0	0
TCGA-D5-6931-01A-11D-1924-10	38	10	13	35	34	0	39	153
TCGA-D5-6932-01A-11D-1924-10	9	23	13	0	9	2	18	58
TCGA-DM-A0X9-01A-11D-A152-10	8	50	4	25	4	20	46	34
TCGA-DM-A0XD-01A-12D-A152-10	23	56	9	16	1	0	46	20
TCGA-DM-A0XF-01A-11D-A152-10	0	5	8	14	20	0	45	39
TCGA-DM-A1D0-01A-11D-A152-10	0	26	0	7	8	13	6	64
TCGA-DM-A1D4-01A-21D-A152-10	17	91	4	0	9	23	24	19
TCGA-DM-A1D8-01A-11D-A152-10	18	21	8	16	12	0	17	71
TCGA-DM-A1D9-01A-11D-A152-10	0	19	6	7	13	9	27	53
TCGA-DM-A1DA-01A-11D-A152-10	42	31	0	10	10	43	56	105
TCGA-DM-A1DB-01A-11D-A152-10	3	17	2	6	0	0	8	25
TCGA-DM-A1HA-01A-11D-A152-10	15	51	0	0	2	18	23	41
TCGA-DM-A28C-01A-11D-A16V-10	11	33	5	0	0	0	19	34
TCGA-DM-A28E-01A-11D-A16V-10	0	22	7	6	21	2	8	16
TCGA-DM-A28F-01A-11D-A16V-10	32	5	18	21	5	0	26	141
TCGA-DM-A28G-01A-11D-A16V-10	8	47	0	5	16	13	26	14
TCGA-DM-A28H-01A-11D-A16V-10	17	23	3	12	0	3	17	45
TCGA-DM-A28M-01A-12D-A16V-10	11	43	0	8	0	6	19	6
TCGA-F4-6459-01A-11D-1771-10	0	13	3	23	12	0	23	53
TCGA-F4-6460-01A-11D-1771-10	16	25	14	14	8	0	35	44
TCGA-F4-6461-01A-11D-1771-10	28	35	0	10	11	13	37	15
TCGA-F4-6569-01A-11D-1771-10	0	16	11	11	9	5	7	62
TCGA-F4-6570-01A-11D-1771-10	750	287	27	82	239	15	118	89
TCGA-F4-6805-01A-11D-1835-10	2	26	0	0	12	9	4	18
TCGA-F4-6806-01A-11D-1835-10	6	49	5	2	5	4	22	15
TCGA-F4-6807-01A-11D-1835-10	7	6	0	0	25	39	48	48
TCGA-F4-6808-01A-11D-1835-10	0	57	0	2	9	18	22	30
TCGA-F4-6854-01A-11D-1924-10	0	16	0	8	19	7	44	25
TCGA-F4-6855-01A-11D-1924-10	8	29	0	6	0	13	27	26
TCGA-G4-6293-01A-11D-1719-10	10	38	10	2	10	0	45	7
TCGA-G4-6294-01A-11D-1806-10	32	7	2	16	0	3	0	100
TCGA-G4-6295-01A-11D-1719-10	4	17	0	18	18	15	11	68
