Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-44-8117-01A-11D-2238-08	494	67	29	27	55	50	48	35	7
TCGA-44-8119-01A-11D-2238-08	325	36	28	17	28	99	64	47	22
TCGA-44-8120-01A-11D-2238-08	319	153	0	31	0	73	45	24	0
TCGA-44-A479-01A-31D-A24D-08	216	0	0	27	0	4	31	10	7
TCGA-44-A47A-01A-21D-A24D-08	4	49	0	23	121	0	0	19	0
TCGA-44-A47G-01A-21D-A24D-08	0	10	6	9	20	14	0	7	3
TCGA-44-A4SS-01A-11D-A24P-08	170	27	68	25	91	35	38	16	21
TCGA-44-A4SU-01A-11D-A24P-08	57	7	0	4	7	34	22	17	2
TCGA-49-4487-01A-21D-1855-08	170	0	6	37	66	53	20	0	0
TCGA-49-4488-01A-01D-1753-08	162	44	12	25	15	8	15	4	14
TCGA-49-4490-01A-21D-1855-08	0	0	0	7	8	7	9	8	1
TCGA-49-4494-01A-01D-1265-08	75	30	26	2	29	24	0	14	0
TCGA-49-4501-01A-01D-1265-08	0	0	0	9	0	17	3	15	2
