Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-50-7109-01A-11D-2036-08	55	80	42	0	32	0	15	22	5
TCGA-50-8457-01A-11D-2323-08	13	0	6	1	11	6	8	7	3
TCGA-50-8460-01A-11D-2323-08	0	9	0	4	0	1	0	9	6
TCGA-53-7624-01A-11D-2063-08	249	100	131	123	113	53	35	32	7
TCGA-53-7626-01A-12D-2063-08	190	14	40	21	72	0	25	0	3
TCGA-53-7813-01A-11D-2167-08	55	0	44	1	0	30	12	14	0
TCGA-55-1592-01A-01D-0969-08	54	131	65	42	61	76	95	7	17
TCGA-55-1592-01A-01W-0928-08	81	87	41	33	82	86	92	10	10
TCGA-55-1594-01A-01D-1040-01	27	0	20	56	17	17	0	17	5
TCGA-55-1594-01A-01W-0928-08	18	9	15	54	28	12	3	10	4
TCGA-55-1595-01A-01D-0969-08	132	71	24	7	15	53	22	9	1
TCGA-55-1596-01A-01D-1040-01	5	55	48	8	11	9	53	8	1
TCGA-55-1596-01A-01W-0928-08	14	34	50	3	19	21	47	4	0
TCGA-55-5899-01A-11D-1625-08	201	29	38	103	32	44	12	14	1
TCGA-55-6543-01A-11D-1753-08	0	0	1	1	2	2	0	14	2
TCGA-55-6642-01A-11D-1855-08	61	0	22	6	5	10	12	6	6
TCGA-55-6712-01A-11D-1855-08	14	0	0	48	62	5	0	8	0
TCGA-55-6968-01A-11D-1945-08	61	0	0	261	205	0	0	0	0
TCGA-55-6969-01A-11D-1945-08	174	15	34	3	31	85	42	0	27
TCGA-55-6971-01A-11D-1945-08	0	25	28	4	5	8	11	0	3
TCGA-55-6972-01A-11D-1945-08	46	40	0	129	0	32	9	10	10
TCGA-55-6975-01A-11D-1945-08	6	6	18	7	8	4	7	12	3
TCGA-55-6978-01A-11D-1945-08	0	0	0	0	0	11	4	6	6
TCGA-55-6979-01A-11D-1945-08	14	35	0	8	57	0	0	0	0
TCGA-55-6980-01A-11D-1945-08	0	0	0	0	1	8	0	2	0
TCGA-55-6981-01A-11D-1945-08	0	0	0	2	13	19	0	15	0
TCGA-55-6982-01A-11D-1945-08	0	0	0	128	84	0	0	9	0
