Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-50-8460-01A-11D-2323-08	5	0	4	11	9
TCGA-53-7624-01A-11D-2063-08	435	166	172	50	20
TCGA-53-7626-01A-12D-2063-08	259	40	46	7	13
TCGA-53-7813-01A-11D-2167-08	91	38	3	22	2
TCGA-55-1592-01A-01D-0969-08	182	234	66	23	43
TCGA-55-1592-01A-01W-0928-08	170	234	63	28	27
TCGA-55-1594-01A-01D-1040-01	50	3	67	24	15
TCGA-55-1594-01A-01W-0928-08	38	22	68	14	11
TCGA-55-1595-01A-01D-0969-08	209	88	18	18	1
TCGA-55-1596-01A-01D-1040-01	63	100	11	15	9
TCGA-55-1596-01A-01W-0928-08	64	104	9	10	5
TCGA-55-5899-01A-11D-1625-08	268	42	120	24	20
TCGA-55-6543-01A-11D-1753-08	1	0	2	18	1
TCGA-55-6642-01A-11D-1855-08	84	14	8	11	11
TCGA-55-6712-01A-11D-1855-08	22	26	76	13	0
TCGA-55-6968-01A-11D-1945-08	100	46	380	1	0
TCGA-55-6969-01A-11D-1945-08	227	107	15	10	52
TCGA-55-6971-01A-11D-1945-08	35	28	6	2	13
TCGA-55-6972-01A-11D-1945-08	78	0	125	15	58
TCGA-55-6975-01A-11D-1945-08	23	16	10	16	6
TCGA-55-6978-01A-11D-1945-08	0	9	0	8	10
TCGA-55-6979-01A-11D-1945-08	51	31	32	0	0
TCGA-55-6980-01A-11D-1945-08	0	8	0	3	0
TCGA-55-6981-01A-11D-1945-08	0	18	8	23	0
TCGA-55-6982-01A-11D-1945-08	7	19	181	14	0
TCGA-55-6984-01A-11D-1945-08	0	15	1	4	0
TCGA-55-6985-01A-11D-1945-08	327	86	9	29	7
TCGA-55-6986-01A-11D-1945-08	0	10	1	7	0
TCGA-55-6987-01A-11D-1945-08	68	41	65	9	0
TCGA-55-7281-01A-11D-2036-08	264	122	50	18	8
TCGA-55-7283-01A-11D-2036-08	83	28	49	52	16
TCGA-55-7284-01B-11D-2238-08	2	1	1	27	12
TCGA-55-7570-01A-11D-2036-08	139	152	93	9	0
TCGA-55-7573-01A-11D-2036-08	17	25	7	1	1
TCGA-55-7574-01A-11D-2036-08	59	51	118	5	0
TCGA-55-7576-01A-11D-2063-08	213	111	28	34	10
TCGA-55-7724-01A-11D-2167-08	37	81	30	34	29
TCGA-55-7725-01A-11D-2167-08	83	27	5	14	12
TCGA-55-7726-01A-11D-2167-08	9	4	77	25	0
TCGA-55-7727-01A-11D-2167-08	104	0	98	23	40
TCGA-55-7903-01A-11D-2167-08	69	19	22	36	10
TCGA-55-7907-01A-11D-2167-08	820	141	231	39	0
TCGA-55-7910-01A-11D-2167-08	225	49	10	39	0
TCGA-55-7911-01A-11D-2167-08	123	76	26	18	0
TCGA-55-7913-01B-11D-2238-08	208	55	41	32	18
TCGA-55-7914-01A-11D-2167-08	88	18	26	40	10
TCGA-55-7994-01A-11D-2184-08	1117	299	110	95	15
TCGA-55-7995-01A-11D-2184-08	382	127	107	19	67
TCGA-55-8085-01A-11D-2238-08	96	16	128	34	12
TCGA-55-8087-01A-11D-2238-08	0	2	8	16	1
TCGA-55-8089-01A-11D-2238-08	692	141	415	39	18
TCGA-55-8090-01A-11D-2238-08	37	40	3	9	3
TCGA-55-8091-01A-11D-2238-08	0	0	1	20	0
TCGA-55-8092-01A-11D-2238-08	292	25	140	75	70
TCGA-55-8094-01A-11D-2238-08	329	27	19	30	72
TCGA-55-8096-01A-11D-2238-08	77	35	10	23	5
TCGA-55-8097-01A-11D-2238-08	45	10	11	43	4
TCGA-55-8203-01A-11D-2238-08	339	56	8	47	2
TCGA-55-8204-01A-11D-2238-08	49	76	84	23	0
TCGA-55-8206-01A-11D-2238-08	6	0	4	12	4
TCGA-55-8208-01A-11D-2238-08	55	105	163	11	4
TCGA-55-8299-01A-11D-2284-08	106	51	12	2	19
TCGA-55-8301-01A-11D-2284-08	151	84	33	16	10
TCGA-55-8506-01A-11D-2393-08	1018	33	33	638	38
TCGA-55-8507-01A-11D-2393-08	751	130	42	64	47
TCGA-55-8510-01A-11D-2393-08	203	74	31	12	4
TCGA-55-8511-01A-11D-2393-08	349	54	80	41	60
TCGA-55-8512-01A-11D-2393-08	13	20	5	2	0
TCGA-55-8514-01A-11D-2393-08	179	61	13	43	0
TCGA-55-8614-01A-11D-2393-08	53	100	33	61	0
TCGA-55-8615-01A-11D-2393-08	46	48	5	11	17
TCGA-55-8616-01A-11D-2393-08	402	47	21	53	0
TCGA-55-8620-01A-11D-2393-08	317	105	29	59	12
TCGA-55-8621-01A-11D-2393-08	31	9	4	8	1
TCGA-55-A48X-01A-11D-A24D-08	278	48	33	15	14
TCGA-55-A48Y-01A-11D-A24D-08	0	0	341	27	0
TCGA-55-A48Z-01A-12D-A24P-08	15	12	5	18	7
TCGA-55-A490-01A-11D-A24D-08	1041	135	131	50	14
TCGA-55-A491-01A-11D-A24D-08	247	54	34	33	27
TCGA-55-A492-01A-11D-A24D-08	162	69	21	21	17
TCGA-55-A493-01A-11D-A24D-08	122	18	72	27	29
TCGA-55-A494-01A-11D-A24P-08	152	7	18	63	8
TCGA-55-A4DF-01A-11D-A24D-08	133	65	586	47	8
TCGA-55-A4DG-01A-11D-A24D-08	515	143	25	40	0
TCGA-55-A57B-01A-12D-A397-08	6	0	6	21	4
TCGA-62-8394-01A-11D-2323-08	19	39	46	22	11
TCGA-62-8395-01A-11D-2323-08	3	17	18	35	0
TCGA-62-8397-01A-11D-2323-08	7	0	3	9	6
TCGA-62-8398-01A-11D-2323-08	37	8	12	15	12
TCGA-62-8399-01A-21D-2323-08	232	43	218	56	0
TCGA-62-8402-01A-11D-2323-08	4	16	8	21	8
TCGA-62-A46O-01A-11D-A24D-08	527	158	177	50	23
TCGA-62-A46P-01A-11D-A24D-08	210	31	7	36	0
TCGA-62-A46R-01A-11D-A24D-08	74	12	29	31	26
TCGA-62-A46S-01A-11D-A24D-08	61	0	14	25	26
TCGA-62-A46U-01A-11D-A24D-08	11	8	10	15	0
TCGA-62-A46V-01A-11D-A24D-08	10	0	7	23	17
TCGA-62-A46Y-01A-11D-A24D-08	6	0	1	15	10
TCGA-62-A471-01A-12D-A24D-08	6	10	65	20	22
TCGA-62-A472-01A-11D-A24D-08	11	22	5	11	8
TCGA-64-1676-01A-01D-0969-08	447	124	27	30	0
TCGA-64-1676-01A-01W-0928-08	434	115	27	28	1
TCGA-64-1677-01A-01W-0928-08	51	52	84	25	2
TCGA-64-1678-01A-01W-0928-08	339	4	42	17	35
TCGA-64-1679-01A-21D-2063-08	372	95	43	17	0
TCGA-64-1680-01A-02D-0969-08	5	4	20	23	0
TCGA-64-1680-01A-02W-0928-08	8	0	14	16	8
TCGA-64-1681-01A-11D-2063-08	5	7	16	6	31
TCGA-64-5774-01A-01D-1625-08	99	20	7	18	0
TCGA-64-5775-01A-01D-1625-08	374	53	29	44	6
TCGA-64-5778-01A-01D-1625-08	324	70	39	29	24
TCGA-64-5781-01A-01D-1625-08	707	194	160	46	45
TCGA-64-5815-01A-01D-1625-08	112	30	6	33	0
TCGA-67-3770-01A-01D-0969-08	136	47	9	25	16
TCGA-67-3770-01A-01W-0928-08	136	41	9	26	14
TCGA-67-3771-01A-01D-1040-01	412	311	356	49	12
TCGA-67-3771-01A-01W-0928-08	397	342	353	47	42
TCGA-67-3773-01A-01D-1040-01	58	11	5	19	9
TCGA-67-3774-01A-01D-1040-01	48	45	9	11	5
