Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-CM-6164-01A-11D-1650-10	4	17	1	17	10	27
TCGA-CM-6165-01A-11D-1650-10	27	24	6	0	0	52
TCGA-CM-6166-01A-11D-1650-10	28	24	5	7	0	20
TCGA-CM-6167-01A-11D-1650-10	0	38	4	0	10	27
TCGA-CM-6168-01A-11D-1650-10	43	43	1	10	41	82
TCGA-CM-6169-01A-11D-1650-10	11	48	5	0	11	37
TCGA-CM-6170-01A-11D-1650-10	7	29	0	5	9	48
TCGA-CM-6171-01A-11D-1650-10	338	445	0	0	358	30
TCGA-CM-6172-01A-11D-1650-10	5	34	2	19	0	46
TCGA-CM-6674-01A-11D-1835-10	280	347	0	5	197	0
TCGA-CM-6675-01A-11D-1835-10	9	26	1	0	2	40
TCGA-CM-6676-01A-11D-1835-10	15	45	1	18	0	25
TCGA-CM-6677-01A-11D-1835-10	23	70	12	4	0	33
TCGA-CM-6678-01A-11D-1835-10	0	71	0	0	22	51
TCGA-CM-6679-01A-11D-1835-10	26	23	0	2	0	16
TCGA-CM-6680-01A-11D-1835-10	0	36	0	17	5	32
TCGA-D5-5537-01A-21D-1924-10	19	35	6	9	0	35
TCGA-D5-5538-01A-01D-1650-10	0	23	0	7	51	35
TCGA-D5-5540-01A-01D-1650-10	0	57	2	11	0	49
TCGA-D5-5541-01A-01D-1650-10	0	27	0	8	6	23
TCGA-D5-6529-01A-11D-1771-10	5	50	5	14	19	20
TCGA-D5-6530-01A-11D-1719-10	394	340	0	0	256	0
TCGA-D5-6531-01A-11D-1719-10	0	87	11	12	8	72
TCGA-D5-6532-01A-11D-1719-10	5	39	7	15	0	58
TCGA-D5-6533-01A-11D-1719-10	0	30	3	28	31	85
TCGA-D5-6535-01A-11D-1719-10	12	35	13	9	2	105
TCGA-D5-6536-01A-11D-1719-10	22	36	0	6	3	30
TCGA-D5-6537-01A-11D-1719-10	0	41	10	7	27	27
TCGA-D5-6538-01A-11D-1719-10	30	67	0	12	0	38
TCGA-D5-6539-01A-11D-1719-10	6	24	5	9	14	41
TCGA-D5-6541-01A-11D-1719-10	0	56	0	0	22	18
TCGA-D5-6898-01A-11D-1924-10	6	38	7	0	0	31
TCGA-D5-6920-01A-11D-1924-10	17	43	1	5	0	48
TCGA-D5-6922-01A-11D-1924-10	15	46	0	10	0	36
