Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-CA-5797-01A-01D-1650-10	6	11	1	0	4	44	0
TCGA-CA-6715-01A-21D-1835-10	1	29	7	6	13	22	5
TCGA-CA-6718-01A-11D-1835-10	0	0	1216	2641	0	60	0
TCGA-CA-6719-01A-11D-1835-10	3	53	10	5	20	23	0
TCGA-CK-4948-01B-11D-1650-10	10	43	0	3	1	21	30
TCGA-CK-5912-01A-11D-1650-10	8	17	7	0	0	4	21
TCGA-CK-5913-01A-11D-1650-10	240	255	0	0	226	64	0
TCGA-CK-5914-01A-11D-1650-10	17	45	12	5	0	7	56
TCGA-CK-5915-01A-11D-1650-10	0	46	0	0	17	21	4
TCGA-CK-5916-01A-11D-1650-10	529	426	0	0	360	70	0
TCGA-CK-6746-01A-11D-1835-10	550	166	0	0	336	0	72
TCGA-CK-6747-01A-11D-1835-10	6	67	21	0	0	21	11
TCGA-CM-4743-01A-01D-1719-10	412	280	0	0	293	90	39
TCGA-CM-4744-01A-01D-1408-10	0	68	1	10	10	60	0
TCGA-CM-4746-01A-01D-1408-10	300	391	4	17	10	0	0
TCGA-CM-4747-01A-01D-1408-10	20	45	1	1	0	14	19
TCGA-CM-4751-01A-02D-1835-10	23	46	0	0	0	0	25
TCGA-CM-4752-01A-01D-1408-10	0	60	9	4	20	38	0
TCGA-CM-5341-01A-01D-1408-10	0	62	0	1	6	34	58
TCGA-CM-5348-01A-21D-1719-10	0	38	42	0	0	15	92
TCGA-CM-5349-01A-21D-1719-10	0	54	18	0	9	21	2
TCGA-CM-5860-01A-01D-1650-10	0	44	10	2	11	50	0
TCGA-CM-5861-01A-01D-1650-10	676	94	0	0	556	0	86
TCGA-CM-5862-01A-01D-1650-10	5	37	0	2	7	7	33
TCGA-CM-5864-01A-01D-1650-10	30	17	19	4	19	51	67
TCGA-CM-5868-01A-01D-1650-10	13	26	2	5	17	19	18
TCGA-CM-6161-01A-11D-1650-10	0	36	0	0	11	52	0
TCGA-CM-6163-01A-11D-1650-10	0	38	9	1	4	43	11
TCGA-CM-6164-01A-11D-1650-10	6	16	16	0	8	27	3
TCGA-CM-6165-01A-11D-1650-10	25	20	0	6	0	31	27
TCGA-CM-6166-01A-11D-1650-10	30	21	8	4	0	10	11
TCGA-CM-6167-01A-11D-1650-10	1	39	0	4	6	29	0
TCGA-CM-6168-01A-11D-1650-10	47	42	6	0	33	76	16
TCGA-CM-6169-01A-11D-1650-10	14	45	0	5	5	29	14
