Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-62-8399-01A-21D-2323-08	221	11	213	52	52	0
TCGA-62-8402-01A-11D-2323-08	2	12	7	10	20	6
TCGA-62-A46O-01A-11D-A24D-08	475	132	167	97	44	20
TCGA-62-A46P-01A-11D-A24D-08	175	74	4	0	31	0
TCGA-62-A46R-01A-11D-A24D-08	60	36	27	6	28	15
TCGA-62-A46S-01A-11D-A24D-08	55	11	13	5	23	19
TCGA-62-A46U-01A-11D-A24D-08	4	17	9	0	14	0
TCGA-62-A46V-01A-11D-A24D-08	1	19	6	0	21	10
TCGA-62-A46Y-01A-11D-A24D-08	6	0	1	0	14	11
TCGA-62-A471-01A-12D-A24D-08	3	11	62	16	19	12
TCGA-62-A472-01A-11D-A24D-08	6	22	4	8	10	7
TCGA-64-1676-01A-01D-0969-08	392	133	19	51	25	8
TCGA-64-1676-01A-01W-0928-08	382	121	20	51	23	8
TCGA-64-1677-01A-01W-0928-08	52	0	82	58	22	0
TCGA-64-1678-01A-01W-0928-08	322	5	39	31	15	25
TCGA-64-1679-01A-21D-2063-08	333	95	38	47	14	0
TCGA-64-1680-01A-02D-0969-08	1	12	18	0	21	0
TCGA-64-1680-01A-02W-0928-08	4	8	13	0	15	6
TCGA-64-1681-01A-11D-2063-08	2	11	14	5	6	27
TCGA-64-5774-01A-01D-1625-08	82	40	5	0	17	0
TCGA-64-5775-01A-01D-1625-08	337	64	25	34	39	7
TCGA-64-5778-01A-01D-1625-08	279	106	33	27	24	17
TCGA-64-5781-01A-01D-1625-08	565	359	141	0	37	50
TCGA-64-5815-01A-01D-1625-08	95	40	4	13	29	0
TCGA-67-3770-01A-01D-0969-08	130	4	7	61	22	9
TCGA-67-3770-01A-01W-0928-08	129	0	8	62	22	5
TCGA-67-3771-01A-01D-1040-01	363	194	342	192	44	5
TCGA-67-3771-01A-01W-0928-08	340	221	339	212	42	27
TCGA-67-3773-01A-01D-1040-01	54	5	4	14	18	7
TCGA-67-3774-01A-01D-1040-01	31	54	7	13	10	3
TCGA-67-3774-01A-01W-0928-08	24	51	3	19	6	0
TCGA-67-4679-01B-01D-1753-08	152	90	9	0	23	18
TCGA-67-6215-01A-11D-1753-08	0	0	0	0	0	109
TCGA-67-6216-01A-11D-1753-08	0	8	8	5	3	2
TCGA-67-6217-01A-11D-1753-08	115	32	6	7	15	17
TCGA-69-7760-01A-11D-2167-08	15	0	4	7	23	22
TCGA-69-7764-01A-11D-2167-08	23	0	9	36	22	1
TCGA-69-7765-01A-11D-2167-08	359	202	58	2	1	18
TCGA-69-7973-01A-11D-2184-08	200	6	13	10	32	4
TCGA-69-7974-01A-11D-2184-08	311	43	34	98	42	0
