"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"CDRT1",3,15,0.000257763735370623,0.124487662959767,0.444934109850439,0.0229232104068447,0.0140889253750063
"CIITA",3,15,0.000257763735370623,0.124487662959767,0.444934109850439,0.0229232104068447,0.0140889253750063
"FBXW10",3,15,0.000257763735370623,0.124487662959767,0.444934109850439,0.0229232104068447,0.0140889253750063
"GIGYF2",3,15,0.000257763735370623,0.124487662959767,0.444934109850439,0.0229232104068447,0.0140889253750063
"GSE1",3,15,0.000257763735370623,0.124487662959767,0.444934109850439,0.0229232104068447,0.0140889253750063
"TRIM46",3,15,0.000257763735370623,0.124487662959767,0.444934109850439,0.0229232104068447,0.0140889253750063
"USP44",3,15,0.000257763735370623,0.124487662959767,0.444934109850439,0.0229232104068447,0.0140889253750063
"ZBTB7C",3,15,0.000257763735370623,0.124487662959767,0.444934109850439,0.0229232104068447,0.0140889253750063
"ZNF609",3,15,0.000257763735370623,0.124487662959767,0.444934109850439,0.0229232104068447,0.0140889253750063
"ARHGAP31",12,26,0.000260676619078889,0.28232268561494,0.589321699782804,0.127871877912119,0.0141768979286054
"IGSF9B",18,32,0.000298552012487217,0.341445096129969,0.639177197324347,0.177258538520415,0.0161559713424053
"TNKS2",8,21,0.000323745272275953,0.234938903657007,0.56013525406521,0.0889010642850716,0.0174325610225027
"SPAM1",24,2,0.000392731934834181,8.05975062075276,70.9477296734563,1.97909808709009,0.0210430800748344
"DAPK1",10,23,0.000400761278674408,0.267457813931982,0.593323707530649,0.112092648535973,0.0213680413144193
"SPATA31A1",44,9,0.000430432429652258,3.34901786073574,7.91035591669579,1.58626519679912,0.0223517630678442
"ECPAS",6,18,0.000433749111945944,0.206720020410677,0.550706523188561,0.0664622231584069,0.0223517630678442
"ACSS2",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"CBX8",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
