"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"ATRX",2,3,0,0,26,1,0,0,0,32,26,26
"LAMA3",4,0,1,0,24,0,0,2,0,31,26,26
"PCNT",1,0,0,0,29,1,0,0,0,31,26,26
"KIF21A",6,1,2,0,21,0,0,0,0,30,26,26
"PAPPA",2,1,0,0,26,0,0,1,0,30,26,26
"TECTA",0,2,0,0,26,2,0,0,0,30,26,26
"TENM2",0,0,0,0,29,1,0,0,0,30,26,26
"BCL9",7,2,1,0,14,4,0,1,0,29,26,26
"KCNB2",2,2,0,0,22,3,0,0,0,29,26,26
"ARFGEF1",6,1,0,0,15,5,0,1,0,28,26,26
"CHD4",1,1,0,0,24,0,0,2,0,28,26,26
"CUX2",1,3,1,0,22,1,0,0,0,28,26,26
"SPTB",0,0,3,0,23,1,0,0,0,27,26,26
"AKAP13",1,3,0,0,20,2,0,0,0,26,26,26
"CHD9",8,1,0,0,30,3,0,0,0,42,25,25
"GOLGB1",4,3,1,0,20,14,0,0,0,42,25,25
"ALMS1",2,0,0,0,35,3,0,0,0,40,25,25
"PEG3",1,0,0,0,34,3,0,0,0,38,25,25
"ABCA12",2,4,0,0,28,1,0,0,0,35,25,25
"EP400",3,0,0,0,28,4,0,0,0,35,25,25
"MYH9",0,0,0,1,28,2,0,4,0,35,25,25
"PPFIA2",0,0,0,0,28,7,0,0,0,35,25,25
"MAP1A",1,1,0,0,32,0,0,0,0,34,25,25
"UBR4",1,0,0,0,30,3,0,0,0,34,25,25
"ANKRD11",2,0,1,0,29,1,0,0,0,33,25,25
"CHD6",5,0,0,0,26,1,0,1,0,33,25,25
"COL27A1",2,0,0,0,27,0,0,4,0,33,25,25
"MAP2",2,0,0,0,27,3,0,1,0,33,25,25
"MYO3A",2,2,0,0,24,4,0,1,0,33,25,25
"SCN11A",1,0,0,0,31,1,0,0,0,33,25,25
"USF3",5,0,0,0,26,2,0,0,0,33,25,25
"ADCY8",0,2,0,0,27,3,0,0,0,32,25,25
"ADGRL3",0,2,0,0,27,2,0,0,0,31,25,25
"DCC",0,0,0,0,27,4,0,0,0,31,25,25
"EPHA3",5,0,0,0,25,1,0,0,0,31,25,25
"SALL1",3,2,0,0,26,0,0,0,0,31,25,25
"ARAP2",2,0,1,0,17,10,0,0,0,30,25,25
"ITPR1",0,0,0,0,28,2,0,0,0,30,25,25
"TCERG1",7,2,0,0,19,2,0,0,0,30,25,25
"ATP10A",1,0,0,0,25,3,0,0,0,29,25,25
"CUL9",3,0,0,0,24,2,0,0,0,29,25,25
"DLG2",1,0,0,0,24,3,0,1,0,29,25,25
"ADAMTSL3",4,0,0,0,22,1,0,1,0,28,25,25
"BCOR",5,3,0,0,14,6,0,0,0,28,25,25
"FRYL",1,1,1,0,23,1,0,1,0,28,25,25
"CDK12",4,0,0,0,22,1,0,0,0,27,25,25
"HUWE1",0,0,0,0,25,2,0,0,0,27,25,25
"PCDHA8",0,0,0,0,26,1,0,0,0,27,25,25
"MYH14",4,1,0,0,19,2,0,0,0,26,25,25
"UGGT2",0,0,0,0,24,0,0,2,0,26,25,25
"FAM47C",5,0,0,0,20,0,0,0,0,25,25,25
"SETX",5,1,0,0,27,6,0,1,0,40,24,24
"AHNAK",0,3,0,0,33,3,0,0,0,39,24,24
"SVEP1",1,0,0,0,36,0,0,0,0,37,24,24
"MGA",4,5,0,0,23,3,0,1,0,36,24,24
"ACACA",0,1,0,0,30,3,0,0,0,34,24,24
"CHD8",3,4,0,0,23,3,0,0,0,33,24,24
"ADAMTS20",2,2,0,0,17,11,0,0,0,32,24,24
"DYNC1H1",3,2,0,0,25,2,0,0,0,32,24,24
"FN1",2,0,0,0,26,4,0,0,0,32,24,24
"MYO15A",4,1,0,0,27,0,0,0,0,32,24,24
"REV3L",8,0,0,0,22,2,0,0,0,32,24,24
"ARID2",8,0,1,1,17,2,0,2,0,31,24,24
"MED12L",7,0,0,1,21,2,0,0,0,31,24,24
"MGAM",0,0,0,0,27,4,0,0,0,31,24,24
"NCKAP5",1,0,0,0,26,4,0,0,0,31,24,24
"SHANK1",3,0,0,0,26,2,0,0,0,31,24,24
"TRPA1",5,2,0,0,23,1,0,0,0,31,24,24
"USP9X",3,3,0,0,20,3,0,2,0,31,24,24
"ERICH3",1,3,0,0,24,2,0,0,0,30,24,24
"HDAC9",1,0,0,0,24,3,0,2,0,30,24,24
"TG",1,1,0,0,28,0,0,0,0,30,24,24
"YLPM1",7,0,1,0,20,2,0,0,0,30,24,24
"ZC3H13",7,1,0,0,15,6,0,1,0,30,24,24
"CALD1",2,1,0,0,21,4,0,0,1,29,24,24
"COL5A2",2,2,0,0,23,1,0,1,0,29,24,24
"KALRN",3,0,0,0,23,2,0,1,0,29,24,24
"MIDEAS",12,3,1,0,9,4,0,0,0,29,24,24
"TRHDE",1,0,0,0,24,3,0,1,0,29,24,24
"ACAN",2,1,0,0,23,2,0,0,0,28,24,24
"ADAMTSL1",2,1,0,0,24,0,0,1,0,28,24,24
"AXIN2",8,10,0,0,9,0,0,1,0,28,24,24
"DOCK1",0,0,2,0,25,1,0,0,0,28,24,24
"EPG5",1,0,0,0,24,3,0,0,0,28,24,24
"VPS13D",0,0,0,0,27,1,0,0,0,28,24,24
"ASTN1",0,2,0,0,25,0,0,0,0,27,24,24
"HELZ2",3,0,0,0,23,0,0,1,0,27,24,24
"LRRK1",0,0,0,0,25,1,0,1,0,27,24,24
"TNRC6B",5,1,0,0,14,7,0,0,0,27,24,24
"UBR5",7,2,0,0,16,2,0,0,0,27,24,24
"AFF2",0,0,0,0,26,0,0,0,0,26,24,24
"CNTN4",4,0,0,0,19,3,0,0,0,26,24,24
"MYH7",0,0,1,0,25,0,0,0,0,26,24,24
"MYO5A",0,0,0,0,24,2,0,0,0,26,24,24
"PHF20L1",6,3,0,0,13,4,0,0,0,26,24,24
"PTPRK",4,1,0,0,20,1,0,0,0,26,24,24
"RIMBP2",1,0,0,0,24,1,0,0,0,26,24,24
"GRIK4",2,0,0,0,21,2,0,0,0,25,24,24
"ZNF423",0,0,0,0,25,0,0,0,0,25,24,24
"LYST",2,1,0,0,31,1,0,3,0,38,23,23
"NLRC5",4,2,0,0,22,7,0,3,0,38,23,23
"CEP290",10,1,0,0,20,5,0,0,0,36,23,23
