Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS40a	SBS54
TCGA-AA-A01V-01A-23W-A096-10	48	30	0	15	31	0	0	0
TCGA-AA-A01X-01A-21W-A096-10	39	8	0	0	0	0	26	0
TCGA-AA-A01Z-01A-11W-A096-10	49	46	0	0	0	0	0	0
TCGA-AA-A022-01A-21D-A17O-10	504	346	0	0	628	0	0	0
TCGA-AA-A022-01A-21W-A096-10	420	359	0	0	482	0	0	0
TCGA-AA-A024-01A-02W-A00E-09	34	29	0	0	16	0	0	0
TCGA-AA-A029-01A-01W-A00E-09	38	0	0	10	0	0	37	0
TCGA-AA-A02E-01A-01W-A00E-09	44	52	0	0	0	0	66	0
TCGA-AA-A02H-01A-01W-A00E-09	27	0	3	10	0	0	33	0
TCGA-AA-A02J-01A-01W-A00E-09	31	16	0	23	0	0	57	0
TCGA-AA-A02K-01A-21W-A096-10	53	49	0	0	0	0	37	0
TCGA-AA-A02O-01A-21W-A096-10	105	60	0	0	0	0	0	0
TCGA-AA-A02R-01A-01W-A00E-09	243	266	0	0	262	182	0	111
TCGA-AA-A02W-01A-01W-A00E-09	46	0	0	0	0	0	49	0
TCGA-AA-A02Y-01A-43W-A096-10	46	43	0	23	0	0	0	0
TCGA-AA-A03J-01A-21W-A096-10	45	40	0	16	0	0	0	0
TCGA-AD-6548-01A-11D-1835-10	62	67	0	0	0	0	0	0
TCGA-AD-6888-01A-11D-1924-10	49	32	0	0	24	0	0	0
TCGA-AD-6889-01A-11D-1924-10	354	231	0	0	581	297	0	175
TCGA-AD-6890-01A-11D-1924-10	75	36	0	0	0	0	0	0
TCGA-AD-6895-01A-11D-1924-10	344	687	0	0	705	0	0	0
TCGA-AD-6901-01A-11D-1924-10	101	79	0	0	0	0	90	0
TCGA-AD-6963-01A-11D-1924-10	26	33	0	0	16	0	0	0
TCGA-AD-6964-01A-11D-1924-10	110	917	0	0	596	0	0	0
TCGA-AD-6965-01A-11D-1924-10	57	47	0	0	29	0	0	0
TCGA-AD-A5EJ-01A-11D-A28G-10	322	188	0	0	461	328	0	139
TCGA-AD-A5EK-01A-11D-A28G-10	35	0	0	0	21	0	48	0
TCGA-AM-5820-01A-01D-1650-10	31	20	0	0	15	0	0	0
TCGA-AU-3779-01A-01D-1719-10	55	5	0	0	0	0	54	0
TCGA-AU-6004-01A-11D-1719-10	311	138	0	0	317	0	0	128
TCGA-AY-4071-01A-01W-1073-09	32	89	0	0	0	0	0	0
TCGA-AY-5543-01A-01D-1650-10	55	64	0	0	0	0	0	0
TCGA-AY-6197-01A-11D-1719-10	162	299	0	0	252	177	0	182
TCGA-AY-6386-01A-21D-1719-10	56	56	0	0	0	0	0	0
TCGA-AY-A54L-01A-11D-A28G-10	53	28	0	0	0	0	67	0
TCGA-AY-A69D-01A-11D-A36X-10	92	20	0	26	0	0	69	0
TCGA-AY-A71X-01A-12D-A36X-10	41	6	0	13	26	0	0	0
TCGA-AY-A8YK-01A-11D-A40P-10	29	23	0	0	27	0	0	0
TCGA-AZ-4308-01A-01D-1408-10	20	12	0	11	0	0	25	0
TCGA-AZ-4313-01A-01D-1408-10	845	65	0	0	268	0	0	0
TCGA-AZ-4315-01A-01D-1408-10	207	0	1223	4043	1739	0	0	0
TCGA-AZ-4614-01A-01D-1408-10	70	121	0	0	0	0	0	0
TCGA-AZ-4615-01A-01D-1408-10	297	107	0	0	245	181	0	144
TCGA-AZ-4681-01A-01D-1408-10	32	47	0	0	0	0	0	0
TCGA-AZ-5403-01A-01D-1650-10	24	53	0	0	0	0	0	0
TCGA-AZ-5407-01A-01D-1719-10	55	0	0	0	0	0	47	0
TCGA-AZ-6598-01A-11D-1771-10	427	528	0	0	1220	0	0	0
TCGA-AZ-6599-01A-11D-1771-10	36	0	0	0	0	0	227	0
TCGA-AZ-6600-01A-11D-1771-10	59	83	0	0	0	0	0	0
TCGA-AZ-6601-01A-11D-1771-10	998	480	0	0	904	0	0	0
TCGA-AZ-6603-01A-11D-1835-10	34	25	0	16	0	0	0	0
TCGA-AZ-6605-01A-11D-1835-10	32	56	0	16	0	0	0	0
TCGA-AZ-6606-01A-11D-1835-10	65	16	0	0	0	0	60	0
TCGA-AZ-6608-01A-11D-1835-10	49	101	0	0	0	0	0	0
TCGA-CA-5254-01A-21D-1835-10	99	33	0	0	0	0	71	0
TCGA-CA-5255-01A-11D-1835-10	14	2	0	0	0	0	28	0
TCGA-CA-5256-01A-01D-1408-10	45	35	0	0	0	0	0	0
TCGA-CA-5797-01A-01D-1650-10	19	1	0	0	0	0	46	0
TCGA-CA-6715-01A-21D-1835-10	36	11	4	12	0	20	0	0
TCGA-CA-6718-01A-11D-1835-10	169	487	1695	1566	0	0	0	0
TCGA-CA-6719-01A-11D-1835-10	59	40	0	15	0	0	0	0
TCGA-CK-4948-01B-11D-1650-10	54	7	0	0	0	0	47	0
TCGA-CK-5912-01A-11D-1650-10	29	0	0	0	0	0	28	0
TCGA-CK-5913-01A-11D-1650-10	273	203	0	0	176	133	0	0
TCGA-CK-5914-01A-11D-1650-10	52	55	0	0	35	0	0	0
TCGA-CK-5915-01A-11D-1650-10	54	34	0	0	0	0	0	0
